FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230710;0000;21;;;
230711;0000;27;;;
230712;0000;5;;;
230713;0000;20;;;
230714;0000;34;;;
230715;0000;51;;;
230716;0000;47;;;
230717;0000;42;;;
230718;0000;42;;;
230719;0000;34;;;
230720;0000;34;;;
230721;0000;24;;;
230722;0000;8;;;
230723;0000;27;;;
230724;0000;31;;;
230725;0000;21;;;
230726;0000;29;;;
230727;0000;42;;;
230728;0000;51;;;
230729;0000;34;;;
230730;0000;36;;;
230731;0000;40;;;
230801;0000;28;;;
230802;0000;32;;;
230803;0000;27;;;
230804;0000;32;;;
230805;0000;28;;;
230806;0000;26;;;
230807;0000;35;;;
230808;0000;43;;;
230809;0000;52;;;
230810;0000;7;;;
230811;0000;21;;;
230812;0000;35;;;
230813;0000;25;;;
230814;0000;19;;;
230815;0000;19;;;
230816;0000;13;;;
230817;0000;12;;;
230818;0000;20;;;
230819;0000;14;;;
230820;0000;7;;;
230821;0000;10;;;
230822;0000;4;;;
230823;0000;2;;;
230824;0000;12;;;
230825;0000;;;;
230826;0000;20;;;
230827;0000;21;;;
230828;0000;17;;;
230829;0000;14;;;
230830;0000;16;;;
230831;0000;21;;;
230901;0000;26;;;
230902;0000;21;;;
230903;0000;20;;;
230904;0000;16;;;
230905;0000;39;;;
230906;0000;12;;;
230907;0000;11;;;
230908;0000;20;;;
230909;0000;28;;;
230910;0000;36;;;
230911;0000;5;;;
230912;0000;14;;;
230913;0000;22;;;
230914;0000;26;;;
230915;0000;19;;;
230916;0000;12;;;
230917;0000;15;;;
230918;0000;39;;;
230919;0000;44;;;
230920;0000;15;;;
230921;0000;15;;;
230922;0000;18;;;
230923;0000;33;;;
230924;0000;21;;;
230925;0000;13;;;
230926;0000;8;;;
230927;0000;15;;;
230928;0000;17;;;
230929;0000;20;;;
230930;0000;22;;;
231001;0000;14;;;
231002;0000;9;;;
231003;0000;9;;;
231004;0000;10;;;
231005;0000;12;;;
231006;0000;12;;;
231007;0000;17;;;
231008;0000;14;;;
231009;0000;14;;;
231010;0000;15;;;
231011;0000;16;;;
231012;0000;13;;;
231013;0000;16;;;
231014;0000;14;;;
231015;0000;11;;;
231016;0000;11;;;
231017;0000;13;;;
231018;0000;12;;;
231019;0000;16;;;
231020;0000;22;;;
231021;0000;31;;;
231022;0000;38;;;
231023;0000;;;;
231024;0000;;;;
231025;0000;;;;
231026;0000;;;;
231027;0000;;;;
231028;0000;;;;
231029;0000;;;;
231030;0000;;;;
231031;0000;;;;
231101;0000;;;;
231102;0000;;;;
231103;0000;;;;
231104;0000;;;;
231105;0000;;;;
231106;0000;;;;
231107;0000;;;;
231108;0000;;;;
231109;0000;;;;
231110;0000;;;;
231111;0000;;;;
231112;0000;;;;
231113;0000;;;;
231114;0000;;;;
231115;0000;;;;
231116;0000;;;;
231117;0000;;;;
231118;0000;;;;
231119;0000;;;;
231120;0000;;;;
231121;0000;;;;
231122;0000;;;;
231123;0000;;;;
231124;0000;;;;
231125;0000;;;;
231126;0000;;;;
231127;0000;;;;
231128;0000;;;;
231129;0000;;;;
231130;0000;;;;
231201;0000;13;;;
231202;0000;13;;;
231203;0000;13;;;
231204;0000;9;;;
231205;0000;11;;;
231206;0000;13;;;
231207;0000;13;;;
231208;0000;15;;;
231209;0000;14;;;
231210;0000;15;;;
231211;0000;20;;;
231212;0000;15;;;
231213;0000;11;;;
231214;0000;12;;;
231215;0000;13;;;
231216;0000;6;;;
231217;0000;5;;;
231218;0000;8;;;
231219;0000;12;;;
231220;0000;18;;;
231221;0000;19;;;
231222;0000;16;;;
231223;0000;14;;;
231224;0000;16;;;
231225;0000;17;;;
231226;0000;12;;;
231227;0000;12;;;
231228;0000;11;;;
231229;0000;16;;;
231230;0000;10;;;
231231;0000;13;;;
240101;0000;11;;;
240102;0000;13;;;
240103;0000;15;;;
240104;0000;14;;;
240105;0000;13;;;
240106;0000;13;;;
240107;0000;9;;;
240108;0000;8;;;
240109;0000;9;;;
240110;0000;12;;;
